TIMESTAMPms	M4ATTITUDEroll	M4ATTITUDErollspeed
20	1.042372267693281e-02	-6.381605286151171e-03
32	1.044005900621414e-02	-6.223084405064583e-03
44	1.045313011854887e-02	-6.294959224760532e-03
56	1.046000700443983e-02	-6.338619627058506e-03
68	1.047849282622337e-02	-5.903493147343397e-03
80	1.049225591123104e-02	-6.076827179640532e-03
92	1.049362588673830e-02	-7.695822976529598e-03
104	1.050194352865219e-02	-5.706491414457560e-03
116	1.050543319433928e-02	-7.147398777306080e-03
132	1.052682846784592e-02	-6.756721064448357e-03
144	1.054393034428358e-02	-5.866713356226683e-03
156	1.055729016661644e-02	-5.814373493194580e-03
168	1.058304682374001e-02	-5.832618568092585e-03
180	1.060006301850080e-02	-6.105382926762104e-03
192	1.061145123094320e-02	-5.725980270653963e-03
204	1.064280420541763e-02	-4.663323983550072e-03
216	1.065757498145103e-02	-5.985418334603310e-03
228	1.068097259849310e-02	-5.021430552005768e-03
240	1.070522889494896e-02	-6.188702769577503e-03
252	1.071820594370365e-02	-6.222361233085394e-03
264	1.073395088315010e-02	-6.673489231616259e-03
276	1.074874959886074e-02	-6.176229100674391e-03
288	1.076051406562328e-02	-5.971364211291075e-03
300	1.078099943697453e-02	-6.088568828999996e-03
312	1.080017164349556e-02	-5.092752631753683e-03
324	1.081013772636652e-02	-6.242559291422367e-03
336	1.082042790949345e-02	-6.885741371661425e-03
348	1.085637509822845e-02	-4.894682671874762e-03
360	1.086631789803505e-02	-6.479664705693722e-03
372	1.086921896785498e-02	-6.514086853712797e-03
384	1.091040018945932e-02	-3.310708329081535e-03
396	1.089311111718416e-02	-1.079875137656927e-02
408	1.090975478291512e-02	-3.817383665591478e-03
420	1.090534310787916e-02	-9.211582131683826e-03
429	1.089319493621588e-02	-7.733157370239496e-03
441	1.093088742345572e-02	-3.577532712370157e-03
453	1.096050906926394e-02	-6.529393140226603e-03
465	1.097452081739902e-02	-4.364615306258202e-03
477	1.101085543632507e-02	-5.241565406322479e-03
489	1.102180872112513e-02	-6.381754763424397e-03
501	1.104757841676474e-02	-4.199782852083445e-03
517	1.106488518416882e-02	-6.599124986678362e-03
525	1.107332948595285e-02	-5.892432760447264e-03
541	1.110334787517786e-02	-5.604009144008160e-03
553	1.111435610800982e-02	-6.960930302739143e-03
565	1.111791469156742e-02	-6.673792842775583e-03
577	1.113112922757864e-02	-6.617505569010973e-03
589	1.114583667367697e-02	-5.901286378502846e-03
601	1.116032805293798e-02	-5.993273574858904e-03
613	1.117199845612049e-02	-5.933280102908611e-03
625	1.118750870227814e-02	-5.861151032149792e-03
637	1.119009312242270e-02	-6.066049914807081e-03
649	1.119092758744955e-02	-6.518144626170397e-03
661	1.121418457478285e-02	-4.877586849033833e-03
673	1.124393474310637e-02	-3.484161803498864e-03
685	1.126717217266560e-02	-6.290754768997431e-03
697	1.128038950264454e-02	-5.886228289455175e-03
709	1.128732226788998e-02	-6.085023283958435e-03
721	1.129120774567127e-02	-5.726189352571964e-03
733	1.131145935505629e-02	-5.268666893243790e-03
745	1.133274380117655e-02	-5.833889823406935e-03
757	1.135739870369434e-02	-4.764979705214500e-03
769	1.137568335980177e-02	-5.508104339241982e-03
781	1.139994524419308e-02	-5.442218389362097e-03
793	1.142619829624891e-02	-4.809619393199682e-03
805	1.145161781460047e-02	-5.812637973576784e-03
817	1.147376094013453e-02	-4.410733934491873e-03
829	1.150256115943193e-02	-4.718101583421230e-03
841	1.151857152581215e-02	-6.517380010336637e-03
853	1.153124962002039e-02	-4.652599804103374e-03
865	1.156217418611050e-02	-4.711507819592953e-03
877	1.158185210078955e-02	-5.753756035119295e-03
889	1.159216463565826e-02	-6.564290262758732e-03
901	1.160273794084787e-02	-6.377723999321461e-03
913	1.160976570099592e-02	-6.538217421621084e-03
925	1.162478700280190e-02	-4.710061009973288e-03
937	1.165447663515806e-02	-4.677167162299156e-03
949	1.168008614331484e-02	-5.738804582506418e-03
957	1.168740261346102e-02	-5.615354981273413e-03
969	1.171011850237846e-02	-4.711308050900698e-03
981	1.173543836921453e-02	-4.639134742319584e-03
997	1.176777854561806e-02	-5.015205591917038e-03
1009	1.178450975567102e-02	-5.612716078758240e-03
1021	1.181149575859308e-02	-4.551052581518888e-03
1033	1.183710061013699e-02	-5.141285248100758e-03
1045	1.185923535376787e-02	-5.392447579652071e-03
1057	1.187799125909805e-02	-5.704449024051428e-03
1069	1.189783681184053e-02	-4.957123659551144e-03
1081	1.190694049000740e-02	-6.282223854213953e-03
1093	1.191737502813339e-02	-5.332915112376213e-03
1105	1.194617617875338e-02	-3.935800399631262e-03
1117	1.196090597659349e-02	-6.056156940758228e-03
1129	1.198220904916525e-02	-4.490260034799576e-03
1137	1.200092211365700e-02	-4.538352135568857e-03
1150	1.202822849154472e-02	-4.544278606772423e-03
1163	1.205694582313299e-02	-4.126033745706081e-03
1171	1.207476202398539e-02	-4.927412141114473e-03
1183	1.208869181573391e-02	-5.056423135101795e-03
1195	1.211007963865995e-02	-4.454704932868481e-03
1211	1.214757934212685e-02	-4.920687060803175e-03
1220	1.216759905219078e-02	-5.369998514652252e-03
1232	1.219460181891918e-02	-5.455080419778824e-03
1244	1.221968140453100e-02	-4.406446591019630e-03
1256	1.224897056818008e-02	-3.466179594397545e-03
1268	1.227874588221312e-02	-4.791068844497204e-03
1280	1.230129040777683e-02	-3.496999386698008e-03
1292	1.235268730670214e-02	-3.402736503630877e-03
1304	1.238358020782471e-02	-4.484547302126884e-03
1316	1.241554226726294e-02	-4.576235078275204e-03
1329	1.244290452450514e-02	-5.572192370891571e-03
1341	1.248035021126270e-02	-3.374793101102114e-03
1353	1.251096557825804e-02	-4.371586255729198e-03
1365	1.252874173223972e-02	-5.948074162006378e-03
1377	1.255792286247015e-02	-4.396699368953705e-03
1389	1.258290559053421e-02	-4.814532119780779e-03
1402	1.260052993893623e-02	-5.382713396102190e-03
1414	1.262001320719719e-02	-4.104968160390854e-03
1426	1.264065783470869e-02	-5.012442357838154e-03
1438	1.264896150678396e-02	-6.313390098512173e-03
1450	1.266682799905539e-02	-4.487620200961828e-03
1462	1.268988009542227e-02	-6.001231726258993e-03
1474	1.270563341677189e-02	-5.248860456049442e-03
1486	1.272394787520170e-02	-5.377647932618856e-03
1498	1.273224130272865e-02	-6.532057654112577e-03
1510	1.274630147963762e-02	-4.453623667359352e-03
1522	1.276335958391428e-02	-4.329630173742771e-03
1538	1.280270237475634e-02	-3.748768940567970e-03
1550	1.282600406557322e-02	-4.447720944881439e-03
1562	1.284606475383043e-02	-4.563492722809315e-03
1574	1.286261901259422e-02	-4.307441413402557e-03
1586	1.288114115595818e-02	-5.350220017135143e-03
1598	1.289316080510616e-02	-5.038515664637089e-03
1610	1.292283274233341e-02	-4.354356788098812e-03
1622	1.294832117855549e-02	-5.162907764315605e-03
1634	1.297474652528763e-02	-4.292776808142662e-03
1646	1.298596058040857e-02	-5.335346329957247e-03
1658	1.300506945699453e-02	-4.226873163133860e-03
1670	1.301980949938297e-02	-5.341973155736923e-03
1682	1.303266361355782e-02	-5.752611439675093e-03
1694	1.305905915796757e-02	-4.200681112706661e-03
1706	1.309052575379610e-02	-4.020950756967068e-03
1718	1.311902515590191e-02	-4.233412444591522e-03
1730	1.313656847923994e-02	-5.262459628283978e-03
1742	1.313750911504030e-02	-6.663179025053978e-03
1754	1.315645780414343e-02	-4.662671126425266e-03
1766	1.317430846393108e-02	-5.015634000301361e-03
1778	1.318496465682983e-02	-6.318081170320511e-03
1790	1.319229323416948e-02	-5.268763750791550e-03
1802	1.321179978549480e-02	-4.225729964673519e-03
1810	1.322895940393209e-02	-4.805972333997488e-03
1826	1.325029786676168e-02	-5.704439710825682e-03
1834	1.325997617095709e-02	-5.190305411815643e-03
1846	1.327225565910339e-02	-4.678907804191113e-03
1858	1.329225953668356e-02	-5.727492738515139e-03
1870	1.331255957484245e-02	-5.228426773101091e-03
1882	1.333187427371740e-02	-5.154195241630077e-03
1894	1.336282305419445e-02	-4.060912411659956e-03
1906	1.337839383631945e-02	-5.255559459328651e-03
1918	1.339060254395008e-02	-5.175367929041386e-03
1930	1.340300962328911e-02	-5.168548785150051e-03
1942	1.342417299747467e-02	-4.040798172354698e-03
1954	1.345911901444197e-02	-4.628037102520466e-03
1966	1.347139198333025e-02	-5.957862827926874e-03
1978	1.348795834928751e-02	-4.079895094037056e-03
1990	1.351853273808956e-02	-3.714771475642920e-03
2002	1.354861725121737e-02	-3.886417951434851e-03
2014	1.356632541865110e-02	-4.897445440292358e-03
2026	1.357578206807375e-02	-5.373644176870584e-03
2039	1.359875872731209e-02	-4.389155190438032e-03
2047	1.360870432108641e-02	-4.457369912415743e-03
2060	1.362108439207077e-02	-6.159174256026745e-03
2072	1.363910455256701e-02	-4.412652924656868e-03
2084	1.366507448256016e-02	-4.060539416968822e-03
2096	1.367815397679806e-02	-5.732941906899214e-03
2108	1.369385141879320e-02	-5.499890539795160e-03
2120	1.371115259826183e-02	-4.100827500224113e-03
2132	1.373698934912682e-02	-3.994533326476812e-03
2144	1.375453080981970e-02	-4.904920235276222e-03
2156	1.376478932797909e-02	-5.887075327336788e-03
2168	1.378028001636267e-02	-4.930557683110237e-03
2180	1.379908435046673e-02	-5.011595319956541e-03
2192	1.381797250360250e-02	-4.699398297816515e-03
2208	1.385332830250263e-02	-3.953773062676191e-03
2216	1.386743411421776e-02	-4.967444576323032e-03
2228	1.388660911470652e-02	-4.833295475691557e-03
2240	1.391509547829628e-02	-3.218617755919695e-03
2252	1.394157204777002e-02	-4.480390809476376e-03
2264	1.395620405673981e-02	-4.831919446587563e-03
2276	1.398111227899790e-02	-4.513589665293694e-03
2288	1.399710867553949e-02	-4.933042451739311e-03
2300	1.402171049267054e-02	-4.217034671455622e-03
2312	1.404319610446692e-02	-4.965750034898520e-03
2324	1.407010015100241e-02	-3.831277135759592e-03
2336	1.409101020544767e-02	-3.922889474779367e-03
2344	1.410886738449335e-02	-3.873100969940424e-03
2360	1.413884479552507e-02	-4.887423478066921e-03
2372	1.415410824120045e-02	-4.906717687845230e-03
2384	1.417088136076927e-02	-5.204802379012108e-03
2396	1.419056672602892e-02	-4.361489322036505e-03
2408	1.421576831489801e-02	-3.551355097442865e-03
2420	1.423271652311087e-02	-4.940091166645288e-03
2432	1.425642985850573e-02	-4.787920042872429e-03
2444	1.427135523408651e-02	-4.953502677381039e-03
2456	1.428733114153147e-02	-4.781982861459255e-03
2468	1.429898664355278e-02	-5.218646023422480e-03
2480	1.431835629045963e-02	-4.125674255192280e-03
2492	1.433553174138069e-02	-3.612790256738663e-03
2504	1.435723155736923e-02	-4.158825147897005e-03
2512	1.436601206660271e-02	-5.105543881654739e-03
2524	1.438239682465792e-02	-4.878940992057323e-03
2536	1.439550332725048e-02	-4.308743868023157e-03
2548	1.441834215074778e-02	-3.561228746548295e-03
2560	1.442653685808182e-02	-4.795368760824203e-03
2572	1.444303244352341e-02	-4.841726273298264e-03
2584	1.446207426488400e-02	-4.276420921087265e-03
2596	1.448872033506632e-02	-3.215451491996646e-03
2608	1.450736448168755e-02	-4.524738527834415e-03
2620	1.451278198510408e-02	-4.504510201513767e-03
2628	1.451934780925512e-02	-4.858320578932762e-03
2644	1.454041991382837e-02	-5.227693822234869e-03
2656	1.455695182085037e-02	-4.308560397475958e-03
2668	1.458049286156893e-02	-4.179561510682106e-03
2680	1.460672076791525e-02	-3.802276682108641e-03
2692	1.463040616363287e-02	-3.102208953350782e-03
2705	1.465891674160957e-02	-3.809588262811303e-03
2717	1.467975787818432e-02	-4.843121394515038e-03
2729	1.468934863805771e-02	-5.522280000150204e-03
2737	1.469826884567738e-02	-5.085828248411417e-03
2753	1.472789328545332e-02	-4.185123369097710e-03
